"EON208PU1","","1","0","1","11/11/2022",,"",""
"","","","0","1","",,"",""
"EWD835-Q16U1","","1","0","1","11/9/2022",,"",""
"","","","0","1","",,"",""
"FlexRack2U1","","1","0","1","11/10/2022",,"",""
"","","","0","1","",,"",""
"FP90XBKU1","","1","1","0","10/24/2022",,"",""
"","","","1","0","",,"",""
"G2655TCaseU1","","1","0","1","11/10/2022",,"",""
"","","","0","1","",,"",""
"G5260TEJBMSU1","","1","1","0","10/11/2022","","",""
"","","","1","0","","10/11/2022","",""
"","","",,,"","10/11/2022","",""
"","","",,,"","10/11/2022","",""
"","","",,,"","10/11/2022","",""
"","","",,,"","10/11/2022","",""
"","","",,,"","10/11/2022","",""
"","","",,,"","10/11/2022","",""
"","","",,,"","10/11/2022","",""
"","","",,,"","10/11/2022","",""
"GA251MkIIU1","","1","1","0","10/31/2022",,"",""
"","","","1","0","",,"",""
"GCDEEPBOWLU1","","1","1","0","10/25/2022",,"",""
"","","","1","0","",,"",""
"Gemini2U1","","1","1","0","10/20/2022",,"",""
"","","","1","0","",,"",""
"GK76U2","","1","1","0","10/13/2022",,"",""
"","","","1","0","",,"",""
"GLXD4-Z2U1","","1","0","1","11/10/2022",,"",""
"","","","0","1","",,"",""
"GTOUR12UCA24DU2","","1","1","0","11/3/2022",,"",""
"","","","1","0","",,"",""
"GTOURSpk2K12U1","","1","1","0","9/21/2022",,"",""
"","","","1","0","",,"",""
"GuardGTR5TRU1","","1","0","1","11/7/2022",,"",""
"","","","0","1","",,"",""
"GUITAR2USBU1","","1","1","0","10/27/2022",,"",""
"","","","1","0","",,"",""
"GWEDREAD12U2","","1","0","1","11/10/2022",,"",""
"","","","0","1","",,"",""
"HcShpVlaCs15U1","","1","1","0","10/5/2022",,"",""
"","","","1","0","",,"",""
"HPA40U1","58818","1","1","0","10/31/2022",,"Shipped","11/6/2018"
"","","","1","0","",,"",""
"HS8SU1","52685","1","0","1","11/9/2022",,"Shipped","3/23/2018"
"","","","0","1","",,"",""
"HT850BCU1","","1","0","1","10/14/2022",,"",""
"","","","0","1","",,"",""
"IOEXT4U1","","1","1","0","11/8/2022",,"",""
"","","","1","0","",,"",""
"IP3000U13","","1","0","1","11/8/2022",,"",""
"","","","0","1","",,"",""
"JBT3TSU1","","1","0","1","11/11/2022",,"",""
"","","","0","1","",,"",""
