ItemID,ebay_id,instock_qty,warehouse_qty,ebay_team_qty,newitemreceiveddate,last_upload_date,ebay_status,last_markedforebay
327eSEBLU1,,1,1,0,11/11/2022,8/15/2022,,
3300U1,,1,1,0,7/15/2022,7/20/2022,,
3DVisionRB1U1,,1,1,0,3/11/2022,4/25/2022,,
3i2217M103uU1,,1,1,0,11/14/2022,11/18/2022,,
3i24217LHU1,,1,1,0,11/8/2022,11/10/2022,,
3i24217MPCXU1,,1,1,0,11/22/2022,1/13/2021,,
3i421718U1,,1,1,0,10/29/2022,11/3/2022,,
3i471935U1,,1,0,1,11/21/2022,10/8/2019,,
3SKBR08U20WU1,,1,1,0,9/10/2022,3/22/2021,,
424SBK-1000U1,,1,1,0,7/26/2022,9/21/2022,,
5150212STIvU1,,1,0,1,11/22/2022,6/18/2021,,
8350APMU1,,1,1,0,10/5/2022,10/18/2022,,
9100335000U2,,1,1,0,8/18/2022,11/3/2022,,
A0623U2,,1,1,0,11/8/2022,11/10/2022,,
AA18CU1,,1,1,0,1/12/2022,1/17/2022,,
AC18CU2,,1,1,0,11/2/2022,11/8/2022,,
ACSGCBU1,75343,1,1,0,11/10/2022,12/15/2020,Shipped,2/23/2021
AF1422COPU1,,1,1,0,9/14/2022,10/18/2022,,
AFWire15U1,,1,1,0,9/8/2022,10/4/2022,,
Air15U2,,1,1,0,6/14/2022,6/21/2022,,
AlienSt5NU1,,1,1,0,11/9/2022,11/9/2022,,
Alpha80EvoU1,,1,1,0,11/2/2022,11/8/2022,,
AP470BWU1,,1,0,1,9/21/2022,11/10/2021,,
ApolloSUSBCHEU1,,1,1,0,4/15/2022,4/26/2022,,
AraUSBU1,,1,1,0,10/20/2022,10/24/2022,,
AS-1206P4U1,,1,1,0,8/30/2022,9/13/2022,,
AS-1206P4U2,,1,1,0,8/30/2022,9/13/2022,,
AS-1206P4U3,,1,1,0,8/30/2022,9/13/2022,,
AS-1206P4U4,,1,1,0,8/30/2022,9/13/2022,,
AS53TFU1,,1,1,0,5/5/2022,5/12/2022,,
ASP58SubPoleU2,,1,1,0,9/1/2022,9/29/2022,,
ASP58SubPoleU3,,1,1,0,9/1/2022,9/29/2022,,
ASP800U1,,1,1,0,2/18/2022,8/27/2019,,
ASP880U2,,1,0,0,10/11/2022,10/19/2020,,
AstraMacPT2U1,,1,1,0,8/24/2022,9/2/2022,,
AT8035U1,,1,1,0,11/25/2022,10/19/2021,,
AudioBox25StuU1,,1,1,0,4/13/2022,4/18/2022,,
B112WU1,58437,1,0,0,11/17/2022,12/7/2020,Shipped,10/17/2018
B15XU1,,1,1,0,10/20/2022,10/31/2022,,
B17JMTCU1,,1,1,0,10/21/2022,10/25/2022,,
B19DUCU2,,1,1,0,11/4/2022,11/14/2022,,
B205DU4,43983,1,1,0,11/18/2022,3/20/2020,Shipped,2/28/2017
B207MP3U1,,1,1,0,11/8/2022,11/15/2022,,
B2520PROU2,,1,1,0,10/10/2022,10/19/2022,,
BalldDCBlkU1,80941,1,1,0,10/24/2022,2/21/2022,Shipped,2/9/2022
BASSBOXU1,,1,1,0,11/21/2022,8/18/2021,,
BC2RoundU2,,1,1,0,9/9/2022,11/2/2021,,
BE967U1,,1,1,0,9/2/2022,10/3/2022,,
BeatPad2U1,86771,1,1,0,3/4/2022,3/10/2022,Failed,10/20/2022
BE-MiniU1,,1,1,0,10/18/2022,12/10/2021,,
BFE11SU1,,1,0,0,11/23/2021,2/16/2022,,
BFE11U2,,1,1,0,10/26/2022,11/3/2022,,
BigSkyReverbU2,62578,1,1,0,11/22/2022,3/1/2022,Shipped,3/12/2019
BKRNFLT-SWWU1,,1,1,0,7/26/2022,8/30/2022,,
BLMTS95-1U1,,1,1,0,10/3/2022,10/12/2022,,
BlueSkyRevMEU1,,1,1,0,7/29/2022,5/2/2022,,
BMSCDJ3KDLXU1,,1,1,0,8/1/2022,8/17/2022,,
Boombox3BkU1,,1,1,0,11/9/2022,11/14/2022,,
Bravo3-72RDU1,,1,1,0,9/12/2022,9/28/2022,,
BrigDelayU1,58293,1,1,0,9/21/2022,8/3/2022,Shipped,10/8/2018
BrigDelayU2,,1,1,0,10/28/2022,4/20/2020,,
BT500S-6U1,,1,1,0,8/17/2022,9/2/2022,,
C02U2,,1,1,0,9/8/2022,9/26/2022,,
C112VU1,,1,1,0,7/25/2022,8/9/2022,,
C1FRSLSBFBU1,,1,1,0,6/9/2022,6/9/2022,,
C1FRSLSBFBU2,,1,1,0,7/28/2022,7/28/2022,,
C1FRSLSlhBFBU1,,1,1,0,6/16/2022,6/16/2022,,
C7FRSSLVMTNU1,,1,1,0,9/22/2022,9/22/2022,,
Cali220112CU1,,1,1,0,11/1/2022,11/8/2022,,
